,remove,pm_key,pm_id,related_key,related_id,related_type,updated_time,updated_status,fix_version,labels,5.2_candidate,5.7_candidate,5.8_candidate,Cloud_JSX,Customer_Priority,DDB,Design_Implementation,DevExperience,Enablement,Features,JSX,JSXSquad,Milestone1,Milestone2,Perf_Lists,Perf_Screen_Transition,Perf_Start_Time,Performance,Performance_Squad,Platform,Platforms,Product_Performance,Product_Solutions,Q4_2019_candidate_feature,RNCloud,RN_Upgrade,ReactNative,Services_Priority,Workflow,debugging,dep_core,installer,jira_escalated
26,0,PM-157,85448,RN-73,73255,Story,2019-07-16T09:27:19.552-0400,Test,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,0,PM-157,85448,RN-73,73255,Story,2019-07-02T13:21:06.351-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0,PM-157,85448,RN-122,73635,Story,2019-07-25T09:21:05.051-0400,Closed,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,0,PM-157,85448,RN-122,73635,Story,2019-07-24T15:50:24.161-0400,Verified,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0,PM-157,85448,RN-122,73635,Story,2019-07-24T15:31:41.587-0400,Documentation,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,0,PM-157,85448,RN-122,73635,Story,2019-07-24T14:12:49.720-0400,Test,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,0,PM-157,85448,RN-122,73635,Story,2019-07-24T09:58:34.297-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,0,PM-157,85448,RN-122,73635,Story,2019-07-16T15:43:32.351-0400,Test,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,0,PM-157,85448,RN-122,73635,Story,2019-06-28T09:14:44.548-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,0,PM-157,85448,RN-69,73251,Story,2018-07-16T14:50:59.919-0400,To Do,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,0,PM-157,85448,RN-69,73251,Story,2018-07-11T13:39:32.178-0400,In Progress,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,0,PM-157,85448,RN-141,73928,Story,2018-03-07T08:18:21.091-0500,To Do,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,0,PM-157,85448,RN-141,73928,Story,2018-02-02T14:50:31.606-0500,Blocked,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,0,PM-157,85448,PM-148,86467,New Feature,2019-08-15T12:57:55.954-0400,Closed,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,0,PM-157,85448,PM-148,86467,New Feature,2019-08-01T14:01:17.873-0400,Open,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,0,PM-156,86933,US-4989,58612,Story,2017-04-20T13:22:06.308-0400,Blocked,[],"['Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,0,PM-156,86933,US-4989,58612,Story,2017-03-07T12:23:07.925-0500,Backlog,[],"['Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,0,PM-153,86897,CS-2406,78740,Epic,2019-01-11T10:28:50.099-0500,Open,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,PM-152,86896,CS-3133,84419,Epic,2019-06-26T16:50:06.970-0400,To Do,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,PM-152,86896,CS-3133,84419,Epic,2019-06-21T14:21:57.053-0400,Blocked,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,PM-152,86896,CS-3133,84419,Epic,2019-06-20T12:40:00.098-0400,Doing,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,PM-152,86896,CS-3133,84419,Epic,2019-06-19T09:21:28.979-0400,To Do,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,PM-151,77032,RN-201,74497,Story,2018-03-06T09:25:05.352-0500,Blocked,[],"['Customer_Priority', 'JSX', 'JSXSquad', 'Milestone2']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,PM-151,77032,RN-203,74499,Story,2018-03-06T09:39:25.525-0500,Blocked,[],"['Customer_Priority', 'JSX', 'JSXSquad', 'Milestone2']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,PM-151,77032,RN-284,75110,Story,2018-03-07T13:14:43.192-0500,Blocked,[],"['Customer_Priority', 'JSX', 'JSXSquad', 'Milestone2']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,PM-149,86708,RN-1558,82590,Epic,2019-06-19T16:18:26.533-0400,Open,[],"['Milestone2', 'Perf_Start_Time', 'Performance_Squad', 'Product_Performance']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0,PM-149,86708,RN-1558,82590,Epic,2019-03-21T09:43:44.703-0400,To Do,[],"['Milestone2', 'Perf_Start_Time', 'Performance_Squad', 'Product_Performance']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,PM-149,86708,RN-1558,82590,Epic,2019-02-25T09:59:07.489-0500,Doing,[],"['Milestone2', 'Perf_Start_Time', 'Performance_Squad', 'Product_Performance']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,PM-149,86708,RN-1558,82590,Epic,2019-02-14T10:30:30.776-0500,To Do,[],"['Milestone2', 'Perf_Start_Time', 'Performance_Squad', 'Product_Performance']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,PM-147,86466,PM-145,86411,Investigation,2019-07-23T13:56:13.754-0400,Open,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,PM-145,86411,PM-113,85366,New Feature,2019-07-29T10:44:08.147-0400,Closed,[],"['Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,0,PM-145,86411,PM-113,85366,New Feature,2019-07-29T10:44:03.100-0400,Blocked,[],"['Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,0,PM-145,86411,PM-113,85366,New Feature,2019-06-13T14:09:14.662-0400,Open,[],"['Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
