,issue_key,issue_type,time,updated_status
327,US-10171,Story,2019-09-19T08:59:05.124-0400,Verified
326,US-10171,Story,2019-09-24T15:48:27.411-0400,Closed
322,US-10164,Technical Story,2019-08-29T16:19:19.063-0400,Documentation
320,US-10164,Technical Story,2019-09-05T13:54:55.918-0400,Closed
321,US-10164,Technical Story,2019-08-30T13:02:11.174-0400,Verified
324,US-10164,Technical Story,2019-08-28T09:43:26.120-0400,Doing
325,US-10164,Technical Story,2019-08-28T09:43:22.993-0400,To Do
323,US-10164,Technical Story,2019-08-29T16:19:15.294-0400,Test
319,US-10150,Epic,2019-07-23T14:06:56.776-0400,To Do
318,US-10150,Epic,2019-07-23T14:07:01.210-0400,Doing
317,US-10150,Epic,2019-09-12T10:05:13.371-0400,Closed
316,US-10113,Story,2019-08-06T15:56:21.064-0400,To Do
315,US-10113,Story,2019-08-06T15:56:25.533-0400,Doing
314,US-10113,Story,2019-08-22T10:11:52.110-0400,Test
313,US-10113,Story,2019-09-06T09:49:43.229-0400,Verified
312,US-10113,Story,2019-09-09T11:38:24.438-0400,Closed
307,US-10071,Bug,2019-09-12T11:41:50.408-0400,Test
304,US-10071,Bug,2019-09-18T14:45:05.832-0400,Closed
306,US-10071,Bug,2019-09-17T13:51:50.729-0400,Documentation
305,US-10071,Bug,2019-09-18T10:06:36.857-0400,Verified
308,US-10071,Bug,2019-09-06T13:39:53.621-0400,Doing
310,US-10071,Bug,2019-08-21T09:48:26.602-0400,Doing
311,US-10071,Bug,2019-06-06T10:28:26.693-0400,To Do
309,US-10071,Bug,2019-08-23T09:09:37.777-0400,To Do
303,US-10047,Bug,2019-08-22T09:46:57.920-0400,To Do
302,US-10047,Bug,2019-08-22T09:47:25.182-0400,Doing
301,US-10047,Bug,2019-09-09T16:06:25.559-0400,Test
300,US-10047,Bug,2019-09-11T13:25:29.538-0400,Verified
299,US-10047,Bug,2019-09-12T09:41:30.727-0400,Closed
295,US-10024,Story,2019-09-06T16:00:02.874-0400,Verified
294,US-10024,Story,2019-09-09T11:38:35.059-0400,Closed
298,US-10024,Story,2019-06-26T11:52:14.411-0400,To Do
296,US-10024,Story,2019-08-13T13:17:33.484-0400,Test
297,US-10024,Story,2019-06-26T11:52:17.597-0400,Doing
293,RN-977,Technical Story,2019-08-27T15:32:55.855-0400,Doing
292,RN-977,Technical Story,2019-08-30T13:24:06.018-0400,Closed
291,RN-969,Technical Story,2019-09-13T11:08:53.959-0400,Doing
290,RN-969,Technical Story,2019-09-17T13:52:09.807-0400,Closed
288,RN-957,Technical Story,2019-09-17T13:49:23.464-0400,Closed
289,RN-957,Technical Story,2019-09-13T08:17:34.894-0400,Doing
