,remove,pm_key,pm_id,related_key,related_id,related_type,updated_time,updated_status,fix_version,labels,5.2_candidate,5.7_candidate,5.8_candidate,Cloud_JSX,Customer_Priority,Design_Implementation,Enablement,Features,JSX,JSXSquad,Milestone1,Milestone2,Perf_Lists,Performance_Squad,Platform,Platforms,Product_Performance,Product_Solutions,Q4_2019_candidate_feature,RNCloud,RN_Upgrade,Services_Priority,debugging,dep_core,installer,jira_escalated
35,0,PM-153,86897,CS-2406,78740,Epic,2019-01-11T10:28:50.099-0500,Open,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,PM-152,86896,CS-3133,84419,Epic,2019-06-26T16:50:06.970-0400,To Do,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,PM-152,86896,CS-3133,84419,Epic,2019-06-21T14:21:57.053-0400,Blocked,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,PM-152,86896,CS-3133,84419,Epic,2019-06-20T12:40:00.098-0400,Doing,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,PM-152,86896,CS-3133,84419,Epic,2019-06-19T09:21:28.979-0400,To Do,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,PM-151,77032,RN-201,74497,Story,2018-03-06T09:25:05.352-0500,Blocked,[],"['Customer_Priority', 'JSX', 'JSXSquad', 'Milestone2']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,PM-151,77032,RN-203,74499,Story,2018-03-06T09:39:25.525-0500,Blocked,[],"['Customer_Priority', 'JSX', 'JSXSquad', 'Milestone2']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,PM-151,77032,RN-284,75110,Story,2018-03-07T13:14:43.192-0500,Blocked,[],"['Customer_Priority', 'JSX', 'JSXSquad', 'Milestone2']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,PM-144,86410,US-10273,86709,Epic,2019-08-28T17:38:20.366-0400,Closed,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24160', 'id': '24160', 'description': '', 'name': '5.6.0', 'archived': False, 'released': False, 'releaseDate': '2019-09-03'}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,0,PM-144,86410,US-10273,86709,Epic,2019-08-19T14:20:36.139-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24160', 'id': '24160', 'description': '', 'name': '5.6.0', 'archived': False, 'released': False, 'releaseDate': '2019-09-03'}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,0,PM-144,86410,US-10273,86709,Epic,2019-08-07T16:47:42.908-0400,To Do,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24160', 'id': '24160', 'description': '', 'name': '5.6.0', 'archived': False, 'released': False, 'releaseDate': '2019-09-03'}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,0,PM-141,86358,US-10278,86714,Epic,2019-08-22T14:45:38.470-0400,Closed,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24160', 'id': '24160', 'description': '', 'name': '5.6.0', 'archived': False, 'released': False, 'releaseDate': '2019-09-03'}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,0,PM-141,86358,US-10278,86714,Epic,2019-08-07T16:46:38.960-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24160', 'id': '24160', 'description': '', 'name': '5.6.0', 'archived': False, 'released': False, 'releaseDate': '2019-09-03'}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,0,PM-141,86358,US-10278,86714,Epic,2019-08-07T16:46:33.966-0400,To Do,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24160', 'id': '24160', 'description': '', 'name': '5.6.0', 'archived': False, 'released': False, 'releaseDate': '2019-09-03'}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,0,PM-141,86358,US-10337,86921,Epic,2019-09-06T13:38:25.378-0400,Closed,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24176', 'id': '24176', 'description': '', 'name': '5.7.0', 'archived': False, 'released': False}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,0,PM-141,86358,US-10337,86921,Epic,2019-08-19T14:19:09.053-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24176', 'id': '24176', 'description': '', 'name': '5.7.0', 'archived': False, 'released': False}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,0,PM-141,86358,US-10337,86921,Epic,2019-08-07T16:46:42.592-0400,To Do,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24176', 'id': '24176', 'description': '', 'name': '5.7.0', 'archived': False, 'released': False}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,0,PM-140,86337,US-8974,78217,Epic,2019-07-17T15:52:26.385-0400,Closed,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,PM-136,84441,US-10150,85805,Epic,2019-09-12T10:05:13.371-0400,Closed,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24176', 'id': '24176', 'description': '', 'name': '5.7.0', 'archived': False, 'released': False}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,0,PM-136,84441,US-10150,85805,Epic,2019-07-23T14:07:01.210-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24176', 'id': '24176', 'description': '', 'name': '5.7.0', 'archived': False, 'released': False}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,0,PM-136,84441,US-10150,85805,Epic,2019-07-23T14:06:56.776-0400,To Do,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24176', 'id': '24176', 'description': '', 'name': '5.7.0', 'archived': False, 'released': False}]","['Customer_Priority', 'Milestone1', 'jira_escalated']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,0,PM-131,85892,US-10156,85812,Story,2019-09-17T07:25:09.131-0400,Test,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0,PM-131,85892,US-10156,85812,Story,2019-09-17T07:25:00.835-0400,Doing,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0,PM-131,85892,US-10156,85812,Story,2019-09-11T10:49:29.845-0400,Test,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0,PM-131,85892,US-10156,85812,Story,2019-09-11T10:49:25.709-0400,Doing,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0,PM-131,85892,US-10156,85812,Story,2019-09-10T09:52:25.272-0400,To Do,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0,PM-131,85892,US-10156,85812,Story,2019-09-10T09:52:22.055-0400,Doing,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
